assignee_raw,assignee_alias
ABB SP ZO O,ABB SP ZOO
ABB SP ZOO,ABB SP ZOO
ABIDOPHARMA PL SP Z O O,ABIDOPHARMA PL SP Z O O
AC SPOLKA AKCYJNA,AIC SPOLKA AKCYJNA
ADAM MICKIEWICZ UNIV,ADAM MICKIEWICZ UNIV
ADAMED SP ZO O,ADAMED SP ZOO
ADAMED SP ZOO,ADAMED SP ZOO
ADB POLSKA SP,ADB POLSKA SP
ADVANCED DIGITAL BROADCAST LTD,ADVANCED DIGITAL BROADCAST LTD
ADVANCED GRAPHENE PRODUCTS SP Z O O,ADVANCED GRAPHENE PRODUCTS SP Z O O
AIC S A,AIC S A
AIC SPO KA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPOLKA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPOŁKA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPÓ KA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPÓLKA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPÓŁKA AKCYJNA,AIC SPOLKA AKCYJNA
AIC SPŐŁKA AKCYJNA,AIC SPOLKA AKCYJNA
AIRWAY MEDIX S A,AIRWAY MEDIX S A
AIRWAY MEDIX SP LKA Z O O,AIRWAY MEDIX SPOLKA Z O O
AIRWAY MEDIX SPOLKA Z O O,AIRWAY MEDIX SPOLKA Z O O
AIRWAY MEDIX SPÓLKA Z O O,AIRWAY MEDIX SPOLKA Z O O
AIUT SP Z O O,AIUT SP Z O O
AJH047 SP Z O O,AJH047 SP Z O O
AKAD GORNICZO HUTNICZA,AKAD GORNICZO HUTNICZA
AKAD MEDYCZNA,AKAD MEDYCZNA
AKAD ROLNICZA,AKAD ROLNICZA
AKAD ROLNICZO TECH,AKAD ROLNICZO TECH
AKADEMA GORNICZO HUTNICZA IM STANISLAWA STASZICA,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA
AKADEMA GÓRNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA GORNICZ0 HUTNICZA IM STANISLAWA STASZICA,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA
AKADEMIA GORNICZO HUTNICZA IM STANISLAWA STASZICA,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA
AKADEMIA GORNICZO HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STAZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA GÓRNICZO HUTNICZA IM STANISLAWA STASZICA,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA
AKADEMIA GÓRNICZO HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA GÓRNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE
AKADEMIA MEDYCZNA IM K MARCINK,AKADEMIA MEDYCZNA IM K MARCINK
AKADEMIA MEDYCZNA IM PIASTOW S,AKADEMIA MEDYCZNA IM PIASTOW S
AKADEMIA MEDYCZNA IM PIASTOW SLASKICH WE WROCLAW IU,AKADEMIA MEDYCZNA IM PIASTOW SLASKICH WE WROCLAWIU
AKADEMIA MEDYCZNA IM PIASTOW SLASKICH WE WROCLAWIU,AKADEMIA MEDYCZNA IM PIASTOW SLASKICH WE WROCLAWIU
ALUPROF SPOLKA AKCYJNA,ALUPROF SPOLKA AKCYJNA
AMATEO SP Z O O,AMATEO SP Z O O
AMMONO S A,AMMONO S A
AMMONO SP ZOO,AMMONO SP ZOO
ANDERVISION SP Z 0 0,ANDERVISION SP Z O O
ANDERVISION SP Z O O,ANDERVISION SP Z O O
ANEW INST SP Z O O,ANEW INST SP Z O O
ANGA USZCZELNIENIA MECHANICZNE,ANGA USZCZELNIENIA MECHANICZNE
APATOR SA,APATOR SA
APEIRON SYNTHESIS SA,APEIRON SYNTHESIS SA
APEIRON SYTHESIS S A,APEIRON SYNTHESIS SA
APIS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,OPUS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA
ARMATURY HAWLE SP Z O O FAB,ARMATURY HAWLE SP Z O O FAB
ATM S A,ATM S A
ATON HT S A,ATON HT S A
AXEN BIO GROUP SP Z O O,AXEN BIO GROUP SP Z O O
AXTONE SPOLKA AKCYJNA,AXTONE SPOLKA AKCYJNA
AXTONE SPÓLKA AKCYJNA,AXTONE SPOLKA AKCYJNA
AXTONE SPÓŁKA AKCYJNA,AXTONE SPOLKA AKCYJNA
AZO DIGITAL SP Z O O,AZO DIGITAL SP Z O O
BALTIC CERAMICS S A,BALTIC CERAMICS S A
BALTON SP Z O O,BALTON SP Z O O
BARLINEK SA,BARLINEK SA
BICARBO SP Z O O,BICARBO SP Z O O
BINARTECH SP Z O O,BINARTECH SP Z O O
BIO TECHNOLOGY SP Z O O,ENBIO TECHNOLOGY SP Z O O
BIOINFOBANK SP Z O O,BIOINFOBANK SP Z O O
BIOLEK SP Z O O,BIOTEK SP Z O O
BIOTEK SP Z O O,BIOTEK SP Z O O
BITRON POLAND SP Z O O,BITRON POLAND SP Z O O
BITRON POLAND SP ZO O,BITRON POLAND SP Z O O
BIURO P PRZEMYSLU METAL,BIURO P PRZEMYSLU METAL
BLIRT S A,BLIRT S A
BLUEVENT AIR SYSTEMS SP Z O O,BLUEVENT AIR SYSTEMS SP Z O O
BOMAR S A W UPADLOSCI UKLADOWEJ,BOMAR S A W UPADLOSCI UKLADOWEJ
BONE VITAE S A,BONE VITAE S A
BRASTER SA,BRASTER SA
BURY SP ZOO,BURY SP ZOO
CARDIONOVUM S P Z O O,CARDIONOVUM SP Z O O
CARDIONOVUM SP Z O O,CARDIONOVUM SP Z O O
CELON PHARMA S A,CELON PHARMA S A
CELON PHARMA SP Z O O,CELON PHARMA SP Z O O
CELTHER POLSKA SP Z O O,CELTHER POLSKA SP Z O O
CELTHER POLSKA SP ZO O,CELTHER POLSKA SP Z O O
CLARITER POLAND SP Z O O,CLARITER POLAND SP ZO O
CLARITER POLAND SP ZO O,CLARITER POLAND SP ZO O
CNT SPOLKA Z O O,CNT SPOLKA Z O O
CONSULT SEPPO,CONSULT SEPPO
COPERNICUS SP Z O O,COPERNICUS SP Z O O
