'imie','plec'
'ADA','K'
'ADAM','M'
'ADELA','K'
'ADELAJDA','K'
'ADRIAN','M'
'ADRIANA','K'
'ADRIANNA','K'
'AGATA','K'
'AGNIESZKA','K'
'ALAN','M'
'ALBERT','M'
'ALEKS','M'
'ALEKSANDER','M'
'ALEKSANDRA','K'
'ALEKSY','M'
'ALEX','M'
'ALEXANDER','M'
'ALEXANDRA','K'
'ALICJA','K'
'ALINA','K'
'AMADEUSZ','M'
'AMANDA','K'
'AMELIA','K'
'ANASTAZJA','K'
'ANATOL','M'
'ANDRZEJ','M'
'ANDŻELIKA','K'
'ANETA','K'
'ANGELIKA','K'
'ANIELA','K'
'ANIKA','K'
'ANITA','K'
'ANNA','K'
'ANTONI','M'
'ANTONIA','K'
'ANTONINA','K'
'APOLONIA','K'
'ARIANNA','K'
'ARKADIUSZ','M'
'ARON','M'
'ARTUR','M'
'AUGUST','M'
'AURELIA','K'
'BARBARA','K'
'BARTŁOMIEJ','M'
'BARTOSZ','M'
'BEATA','K'
'BENEDYKT','M'
'BENIAMIN','M'
'BENJAMIN','M'
'BERNARD','M'
'BIANKA','K'
'BLANKA','K'
'BŁAŻEJ','M'
'BOGDAN','M'
'BOGNA','K'
'BOGUSŁAW','M'
'BOLESŁAW','M'
'BORYS','M'
'BRAJAN','M'
'BRAYAN','M'
'BRONISŁAW','M'
'BRUNO','M'
'BRUNON','M'
'BRYAN','M'
'BRYGIDA','K'
'CARMEN','K'
'CECYLIA','K'
'CELINA','K'
'CEZARY','M'
'CYPRIAN','M'
'CYRYL','M'
'DAGMARA','K'
'DALIA','K'
'DAMIAN','M'
'DANIEL','M'
'DANIELA','K'
'DANUTA','K'
'DARIA','K'
'DARIUSZ','M'
'DAVID','M'
'DAWID','M'
'DENIS','M'
'DIANA','K'
'DIEGO','M'
'DOBRAWA','K'
'DOBROCHNA','K'
'DOMINIK','M'
'DOMINIKA','K'
'DONATAN','M'
'DORIAN','M'
'DOROTA','K'
'EDWARD','M'
'EDYTA','K'
'ELENA','K'
'ELIZA','K'
'ELŻBIETA','K'
'EMANUEL','M'
'EMIL','M'
'EMILIA','K'
'EMILIAN','M'
'EMILY','K'
'EMMA','K'
'ERNEST','M'
'ERYK','M'
'ESTERA','K'
'EWA','K'
'EWELINA','K'
'FABIAN','M'
'FAUSTYNA','K'
'FELICJA','K'
'FELIKS','M'
'FILIP','M'
'FLORIAN','M'
