person_name_alias,coworker_name_alias,common_publications_count
ABBAS QAMAR,BINDER LEO,2
ABBAS QAMAR,ABBAS QAMAR,7
ABBAS QAMAR,BEGUIN FRANCOIS,3
ABBAS QAMAR,QURESHI IRFAN ZIA,1
ABBAS QAMAR,SHEHZADI ANAM,1
ABBAS QAMAR,MUHAMMAD SABIR HAZUR,1
ABBAS QAMAR,ABBAS KHAWAR,1
ABRAMOWICZ AGNIESZKA,ABRAMOWICZ AGNIESZKA,7
ABRAMOWICZ AGNIESZKA,SZADKOWSKA AGNIESZKA,2
ABRAMOWICZ AGNIESZKA,JEZIORSKA REGINA,2
ABRAMOWICZ AGNIESZKA,SPASOWKA EWA,1
ABRAMOWICZ AGNIESZKA,PASNIK ANNA,1
ABRAMOWICZ AGNIESZKA,ZIELECKA MARIA,3
ABRAMOWICZ AGNIESZKA,OBLOJ-MUZAJ MARIA,4
ABRAMOWICZ AGNIESZKA,KOZAKIEWICZ JANUSZ,3
ABRAMOWICZ AGNIESZKA,GORSKA AGNIESZKA,2
ABRAMOWICZ AGNIESZKA,KUMOSINSKI MARCIN,2
ABRAMSKI KRZYSZTOF,ABRAMSKI KRZYSZTOF,8
ABRAMSKI KRZYSZTOF,NIKODEM MICHAL,3
ABRAMSKI KRZYSZTOF,KRZEMPEK KAROL,1
ABRAMSKI KRZYSZTOF,SOTOR JAROSLAW,2
ABRAMSKI KRZYSZTOF,ANTONCZAK ARKADIUSZ,2
ABRAMSKI KRZYSZTOF,NIKODEM MICHAL P.,1
ABRAMSKI KRZYSZTOF,KLUZNIAK EWELINA,1
ACHMATOWICZ BARBARA,ACHMATOWICZ BARBARA,12
ACHMATOWICZ BARBARA,RODEWALD WLADYSLAW,1
ACHMATOWICZ BARBARA,WICHA JERZY,6
ACHMATOWICZ BARBARA,BAER H. H.,2
ACHMATOWICZ BARBARA,BAER HANS HELMUT,1
ACHMATOWICZ BARBARA,RODEWALD WLADYSLAW J.,2
ACHMATOWICZ BARBARA,MARCZAK STANIS?AW,1
ACHMATOWICZ BARBARA,RAUBO PIOTR,1
ACHMATOWICZ BARBARA,JANKOWSKI PAWEL,1
ACHMATOWICZ OSMAN,SZECHNER BARBARA,9
ACHMATOWICZ OSMAN,ACHMATOWICZ OSMAN,19
ACHMATOWICZ OSMAN,PIETRASZKIEWICZ MAREK,3
ACHMATOWICZ OSMAN,SZYMONIAK JAN,2
ACHMATOWICZ OSMAN,SADOWNIK ANDRZEJ,1
ACHMATOWICZ OSMAN,BIELSKI ROMAN,1
ACHMATOWICZ OSMAN,BURZYNSKA MARIA H.,2
