inventor,patents,coworkers_patents
ABBAS QAMAR,2,7.0
ABRAMOWICZ AGNIESZKA,5,6.833333333333333
ABRAMSKI KRZYSZTOF,3,2.625
ACHMATOWICZ BARBARA,2,13.25
ACHMATOWICZ OSMAN,11,9.5
ADAMCZAK STANISLAW,1,1.0
ADAMCZEWSKA VIOLETTA,6,24.0
ADAMCZEWSKI TOMASZ,2,1.0
ADAMCZYK FLORIAN,6,19.0
ADAMCZYK JAN,5,1.0
ADAMCZYK MAREK,12,3.0
ADAMSKA EWELINA,10,26.0
ADAMSKI ANDRZEJ,5,8.428571428571429
ADAMSKI PAWEL,40,12.5
ADAMUS JAN,21,25.25
AKSIENIONEK MAGDALENA,5,4.666666666666667
AL-NEDAWI KHALID,19,22.0
ALBINSKA JADWIGA,5,1.0
ALEKSANDRZAK-PIEKARCZYK TAMARA,5,9.5
AMBICKA ALEKSANDRA,2,2.95
AMBROZIAK SLAWOMIR,1,5.333333333333333
AMBROZIAK WOJCIECH,7,4.0
AMROZIK PIOTR,1,4.7
ANDRUSZKIEWICZ RYSZARD,35,27.473684210526315
ANDRYS DOMINIKA,1,1.0
ANDRYSZEWSKI TOMASZ,1,3.3333333333333335
ANDRZEJEWSKA MARIOLA,5,4.5
ANGIELSKI STEFAN,4,4.0
ANIGACZ WOJCIECH,3,3.0
ANTONCZAK ARKADIUSZ,3,2.0
ANTONIAK-JURAK KATARZYNA,2,4.5
ANTOSZKIEWICZ MICHAL,1,1.0
ANYSZKIEWICZ KRYSTYNA,2,2.6666666666666665
APPELHANS DIETMAR,31,11.0
ARABSKI MICHAL,3,3.0
ARKUSZ JOANNA,6,5.5
ATRASZKIEWICZ RADOMIR,9,13.75
AUGUSTIN EWA,4,7.375
AWSIUK KAMIL,1,1.2307692307692308
BABOUT LAURENT,1,2.0
BACZEK TOMASZ,1,14.375
BADOWSKA-ROSLONEK KATARZYNA,7,9.0
BAJ ANETA,7,13.923076923076923
BAJ JADWIGA,1,1.7692307692307692
BAJERSKI ANDRZEJ,1,1.0
BAJOREK JERZY,1,2.0
BAJRASZEWSKI TOMASZ,40,20.40449438202247
BAKIERSKA MONIKA,2,4.782608695652174
BAKUN MAGDALENA,1,2.0
BAL WOJCIECH,13,4.0
BALCEREK PRZEMYSLAW,59,17.666666666666668
BALCEROWIAK WOJCIECH,8,14.0
BALCZEWSKI PIOTR,8,2.3333333333333335
BALDYGA JERZY,5,9.0
BALEJKO JERZY,3,3.0
BALICKI ROMAN,7,12.8
BANASIAK ROBERT,1,1.0
BANASZAK KATARZYNA,6,5.5
BANKOWSKI WOJCIECH,2,3.0
BARAN MARCIN,13,7.0
BARAN PIOTR,5,4.0
BARANIAK DAGMARA,6,23.0
BARANIAK JANINA,3,7.24
BARANOWSKA MARIA,8,8.0
BARANOWSKI JACEK,5,54.0
BARANOWSKI MIKOLAJ,9,5.666666666666667
BARANSKA SYLWIA,8,6.333333333333333
BARCISZEWSKA MIROSLAWA,4,20.666666666666668
BARCISZEWSKI JAN,26,19.846153846153847
BARDOWSKI JACEK,11,4.4
BARSKI PIOTR,7,14.0
BARTH MAREK,6,5.0
BARTKOWIAK ARTUR,26,2.4
BARTNICKI FILIP,10,10.8
BARTNICKI JAROSLAW,1,7.0
BARTOSIK DARIUSZ,1,3.5238095238095237
BARTOSIK MAREK,1,1.75
BARTOSZEWICZ AGNIESZKA,6,6.0
BARYS MACIEJ,1,1.0
BATOG JOLANTA,3,6.8
BATSCH ADAM,1,1.0
BEDNAREK ELZBIETA,4,6.0
BEDNARKIEWICZ ARTUR,15,21.53846153846154
BEDNARSKI MAREK,6,8.142857142857142
BEGUIN FRANCOIS,7,14.0
BELTER AGNIESZKA,3,13.75
BENKE GRZEGORZ,2,2.0
