inventor,patents,coworkers_patents,patents/coworkers_patents
ABBAS QAMAR,1,1.3333333333333333,0.75
ABRAMOWICZ AGNIESZKA,1,1.4,0.7142857142857143
ABRAMSKI KRZYSZTOF,2,1.3,1.5384615384615383
ACHMATOWICZ BARBARA,1,1.9333333333333333,0.5172413793103449
ACHMATOWICZ OSMAN,5,2.6842105263157894,1.8627450980392157
ADAMCZAK STANISLAW,1,0.07692307692307693,13.0
ADAMCZEWSKA VIOLETTA,1,2.25,0.4444444444444444
ADAMCZEWSKI TOMASZ,2,0.5,4.0
ADAMCZYK ADAM,2,0.0,0
ADAMCZYK FLORIAN,3,4.0,0.75
ADAMCZYK JAN,5,0.24,20.833333333333336
ADAMCZYK MAREK,2,0.2727272727272727,7.333333333333334
ADAMCZYK WOJCIECH,2,0.0,0
ADAMKIEWICZ MALGORZATA,2,0.0,0
ADAMOWICZ PIOTR,2,0.0,0
ADAMSKA EWELINA,2,1.25,1.6
ADAMSKI ANDRZEJ,4,3.3846153846153846,1.1818181818181819
ADAMSKI PAWEL,21,2.6666666666666665,7.875
ADAMUS JAN,4,4.0,1.0
AKSAMIT PAWEL,1,0.0,0
AKSIENIONEK MAGDALENA,3,1.7142857142857142,1.75
AL-NEDAWI KHALID,4,1.3157894736842106,3.0399999999999996
ALBINSKA JADWIGA,2,0.07692307692307693,26.0
ALEKSANDRZAK-PIEKARCZYK TAMARA,4,0.4,10.0
AMBICKA ALEKSANDRA,1,0.37254901960784315,2.6842105263157894
AMBROZIAK SLAWOMIR,1,2.0,0.5
AMBROZIAK WOJCIECH,3,0.37777777777777777,7.9411764705882355
AMROZIK PIOTR,1,2.142857142857143,0.4666666666666667
ANDRUSZKIEWICZ RYSZARD,4,5.947368421052632,0.6725663716814159
ANDRYS DOMINIKA,1,0.375,2.6666666666666665
ANDRYSZEWSKI TOMASZ,1,1.0666666666666667,0.9375
ANDRZEJEWSKA MARIOLA,2,2.4,0.8333333333333334
ANGIELSKI STEFAN,4,0.04225352112676056,94.66666666666667
ANIGACZ WOJCIECH,3,0.375,8.0
ANTONCZAK ARKADIUSZ,2,1.5,1.3333333333333333
ANTONIAK-JURAK KATARZYNA,2,0.8571428571428571,2.3333333333333335
ANTOSZKIEWICZ MICHAL,1,0.7647058823529411,1.3076923076923077
ANYSZKIEWICZ KRYSTYNA,1,0.8,1.25
APPELHANS DIETMAR,13,0.15384615384615385,84.5
ARABSKI MICHAL,2,0.058823529411764705,34.0
ARKUSZ JOANNA,1,0.5714285714285714,1.75
ARMANDO MARCO,1,0.0,0
ATRASZKIEWICZ RADOMIR,5,3.7755102040816326,1.3243243243243243
AUGUSTIN EWA,1,1.2903225806451613,0.775
AUGUSTYN WLADYSLAW,2,0.0,0
AUGUSTYNIAK ADAM,1,0.0,0
AWSIUK KAMIL,1,0.27184466019417475,3.678571428571429
BABOUT LAURENT,1,0.6031746031746031,1.6578947368421053
BACZEK TOMASZ,1,1.1176470588235294,0.8947368421052632
BADOWSKA-ROSLONEK KATARZYNA,2,2.5,0.8
BAJ ANETA,1,3.05,0.3278688524590164
BAJ JADWIGA,1,0.42857142857142855,2.3333333333333335
BAJERSKI ANDRZEJ,1,0.35714285714285715,2.8
BAJOR MICHAL,1,0.0,0
BAJOREK JERZY,1,1.0,1.0
BAJRASZEWSKI TOMASZ,16,7.2592592592592595,2.204081632653061
BAKIER SLAWOMIR,1,0.0,0
BAKIERSKA MONIKA,2,1.5405405405405406,1.2982456140350878
BAKUN MAGDALENA,1,0.6666666666666666,1.5
BAL WOJCIECH,3,0.34615384615384615,8.666666666666666
BALA JAN,4,0.0,0
BALCEREK PRZEMYSLAW,22,1.8333333333333333,12.0
BALCEROWIAK WOJCIECH,4,2.75,1.4545454545454546
BALCZEWSKI PIOTR,8,0.8484848484848485,9.428571428571429
BALDYGA JERZY,5,2.8181818181818183,1.7741935483870968
BALEJKO JERZY,1,0.2222222222222222,4.5
