name,ile_pat
INT TOBACCO MACHINERY POLAND,400
UNIV JAGIELLONSKI,293
BURY SP ZOO,258
ADAMED SP ZOO,207
AKAD GORNICZO HUTNICZA,188
POLITECHNIKA GDANSKA,161
POLITECHNIKA WARSZAWSKA,148
INST FARMACEUTYCZNY,147
POLITECHNIKA LODZKA,136
Fakro pp spolka zoo,135
UNIV WARSZAWSKI,126
AMMONO SP ZOO,117
INT TOBACCO MACHINERY POLAND SP ZOO,104
POLITECHNIKA POZNANSKA,104
POLSKA AKADEMIA NAUK INSTYTUT,94
INST CHEMII PRZEMYSLOWEJ,91
POLITECHNIKA SLASKA IM WINCENT,86
WARSZAWSKI UNIV MEDYCZNY,82
VALEO AUTOSYSTEMY SP Z O O,73
UNIV ADAM MICKIEWICZ,71
ZAKLADY FARM POLPHARMA SA,66
INST ODLEWNICTWA,65
COPERNICUS SP Z O O,65
FAKRO PP SP Z O O,64
ADB POLSKA SP,63
INST CHEMII FIZYCZNEJ POLSKIEJ AKADEMII NAUK,62
INST CHEMII BIOORG PAN,61
SYNTHOS S A,60
INST CIEZKIEJ SYNTEZY ORGA,59
INST BIOCHEMII I BIOFIZYKI PAN,58
INST OBROBKI PLASTYCZNEJ,57
WOJSKOWA AKAD TECH,55
BARLINEK SA,55
LUBELSKA POLT,54
UNIV JAGIELLOŃSKI,53
POLITECHNIKA WROCLAWSKA,51
HTL STREFA SPOLKA AKCYJNA,49
APATOR SA,46
TRUMPF HUETTINGER SP Z O O,45
ABB SP ZOO,44
APEIRON SYNTHESIS SA,42
PZ HTL SPOLKA AKCYJNA,40
INST WYSOKICH CISNIEN POLSKIEJ AKADEMII NAUK,39
AIC S A,39
INST BIOCHEMII I BIOFIZYKI POLSKIEJ AKADEMII NAUK,38
ZACHODNIOPOMORSKI UNIV T W SZCZECINIE,38
PATENTS FACTORY LTD SP Z O O,37
INST WLOKIENNICTWA,37
WROCLAWSKIE CT BADAN EIT & SP Z O O,36
SELVITA S A,36
CT BADAN MOLEKULAR I MAKRO,35
HS WROCLAW SP Z O O,35
YASA MOTORS POLAND SP Z O O,34
INST BIOTECHNOLOGII I ANTYBIOT,34
LFC SPOLKA ZOO,34
INST OPTYKI STOSOWANEJ,33
INST BIOTECHNOLOGII I ANTYBIOTYKOW,32
GESTIND POLAND SP Z O O,31
INST IMMUNOLOGII I TERAPII DOS,31
TOMTOM POLSKA SP Z O O,31
TELESTO SP Z O O,30
INST PRZEMYSLU ORGANICZEGO,30
FIBAR GROUP SP Z O O,29
CT KT MASZYN GORNICZYCH KOMAG,29
JELENIA PLAST SP Z O O,29
POLITECHNIKA RZESZOWSKA,28
POLSKA AKAD NAUK CENTRUM,28
CELON PHARMA S A,28
INST IMMUNOLOGII I TERAPII DOSWIADCZALNEJ PAN,28
INST WLOKIEN NATURALNYCH,28
PRZEMYSLOWY INST MASZ ROLNICZYCH,27
TS OSRODEK BADAWCZO ROZWO,27
SECO WARWICK S A,27
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA W KRAKOWIE,26
PRZEMYSLOWY INSTYTUT AUTOMATYK,26
INST BIOTECHNOLOGII PRZEMYSLU ROLNO SPOZYWCZEGO,26
INST NAWOZOW SZTUCZNYCH,25
OPTOPOL TECHNOLOGY S A,25
WINKELMANN SP Z O O,25
BRASTER SA,25
MIEDZYNARODOWY INST BIOLOG MOLEKULARNEJ I KOMORKOWEJ,25
POLITECHNIKA KRAKOWSKA,25
BITRON POLAND SP Z O O,25
POLSKA WYTWORNIA PAPIEROW WARTOSCIOWYCH S A,24
INST WLOKIEN CHEM,24
INST TECH MATERIAL ELEKT,24
INST BIOCHEMII I BIOFIZYKI,23
FORMASTER S A,23
UNIV M CURIE SKLODOWSKIEJ,22
WROCŁAWSKIE CT BADAŃ EIT & SP Z O O,22
PLASMA SYSTEM S A,22
UNIV GDANSKI,22
INTERNAT TOBACCO MACHINERY,22
GDANSKI UNIV MEDYCZNY,22
INST WYSOKICH CISNIEN POLSKIEJ,22
POLITECHNIKA LÓDZKA,22
INST CHEMII PRZEMYSLOWEJ IM PROF IGNACEGO MOSCICKIEGO,21
ESTIMOTE POLSKA SP Z O O,21
ABB SP ZO O,21
PZ CORMAY S A,20
HTL STREFA SPOLKA Z O O,20
UNIV LODZKI,20
URZADZEN MECHANICZNYCH KAMAX S,20
FUNDACJA ROZWOJU KARDIOCHIRURGII IM PROF ZBIGNIEWA RELIGI,20
UNIV WROCLAWSKI,20
EPAR SP Z O O,19
TELEKOMUNIKACJA POLSKA S A,19
POLITECHNIKA SWIETOKRZYSKA,19
ALUPROF SPOLKA AKCYJNA,19
INST TECHNOLOGII MATERIALÓW ELEKTRONICZNYCH,19
INST CHEMII ORGANICZNEJ POLSKIEJ AKADEMII NAUK,19
POMORSKA AKADEMIA MEDYCZNA,18
ZELMER,18
AIRWAY MEDIX S A,18
POLMAG,18
TERMO ORGANIKA SP Z O O,18
ELPIGAZ SP Z O O,18
INST CHEMII NIEORGANICZNEJ,18
SECO WARWICK SP Z O O,18
LEDs ON,18
ONCOARENDI THERAPEUTICS SP Z O O,18
FAMUR INST SP Z O O,18
HUTA BAILDON,18
INST CHEMII BIOORG POLSKIEJ AKADEMII NAUK,17
AKADEMIA GORNICZO-HUTNICZA IM STANISLAWA STASZICA,17
HUETTINGER ELECTRONIC SP Z O O,17
INVENTO SPOLKA Z O O,17
INST BADAN JADROWYCH,17
INST FIZIKI JADROWEJ,17
ORANGE POLSKA S A,17
INST CHEMII ORGANICZNEJ PAN,17
CURIOSITY DIAGNOSTICS SP Z O O,17
TRW STEERING SYSTEMS POLAND SP Z O O,16
SEED LABS SP Z O O,16
ZAKLADY ENERGETYCZNE OKREGU PO,16
INST PRZEMYSLU MIESNEGO,16
AZO DIGITAL SP Z O O,16
FAKRO PP SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,16
KOSATKA-PIORO ALEKSANDRA,16
IVONA SOFTWARE SP Z O O,16
KORONA S A,15
FIBAR GROUP S A,15
CELTHER POLSKA SP Z O O,15
INTEGER PL S A,15
UNIV TECHNOLOGIE DE VARSOVIE,15
INST MECH PRECYZ,15
PRZED PROJEKTOWANIA,15
AKAD MEDYCZNA,15
PILAB S A,15
PROTEON PHARMACEUTICALS S A,15
INTERNEHSHNL TOBAKKO MASHINERI POLAND SP Z O O,15
TRW POLSKA SP Z O O,15
MARKETING I KONSULTING PER ANDERS BRATTEMO,15
INTERNESHNL TOBAKKO MASH POLAND SP Z O O,15
INST METALLURGII ZELEZA IMENI,14
STOCZNIA SZCZECINSKA,14
PRZEMYSLOWY INST MOTORYZACJI,14
